Last Run: 08.27.2026

====================================================================================================
AlphaOmega OneDrive File Format Inventory
====================================================================================================

READ-ONLY ANALYSIS
No file content will be retrieved.
No AlphaOmega database writes will occur.

Enumerating complete OneDrive...
PASS: Production OneDrive Connector enumeration completed.

Building format inventory...

====================================================================================================
ONEDRIVE FILE FORMAT INVENTORY
====================================================================================================

CONTAINER objects : 6505
CONTENT objects   : 78516
Unique extensions : 264

----------------------------------------------------------------------------------------------------
EXTENSION                COUNT   ALPHAOMEGA EXTRACTION
  sendemail-validate.sample
  prepare-commit-msg.sample
  pre-receive.sample
  pre-rebase.sample

.config (13 files)
  default.theme.config
  journeymap.webmap.config
  journeymap.topo.config
  journeymap.waypoint.config
  journeymap.minimap2.config

.res (12 files)
  CR!RG94XGR29X4935VXA8G0FV5CQDZ7.azw.res
  CR!GWSJZ2Q33S27XCHYSNE7S0ZPQKAY.azw.res
  CR!WA7YW273RX2PB2PNMG7Z22FB8K10.azw.res
  CR!7JP0EC1QW15CQCBEQ6YST6D3EA47.azw.res
  CR!5VY9RYR1XX7BF93QRWWT8B458W5B.azw.res

.vsd (12 files)
  BobsFixIt.vsd
  Phase7.2.vsd
  Inventory Use Case.vsd
  Context Diagram Phase 7.vsd
  AOA.vsd

.hlp (11 files)
  WINOBJ.HLP
  TCPVIEW.HLP
  PORTMON.HLP
  pagedfrg.hlp
  DISKMON.HLP

.ico (11 files)
  playback.ico
  record.ico
  stop.ico
  playback.ico
  stop.ico

.sqlite (11 files)
  launcher-v2.sqlite
  d47bf756.sqlite
  storage.sqlite
  storage-sync-v2.sqlite
  places.sqlite

.wmv (11 files)
  Trigun - Weird Al Yankovic - Trigger Happy.wmv
  fox newscast.wmv
  Video 2.wmv
  Video 1.wmv
  Video 3.wmv

.frm (10 files)
  frmmain.frm
  stdntinfosyst.frm
  frmstudentinfo.frm
  frmofficialinfo.frm
  frmrangesum.frm

.mcpack (10 files)
  TreesPlus+(All improvements)1.2.mcpack
  Glowing_OresV1.3_Resources_Packs .mcpack
  Multi_backpack [BP] (v1.13.2).mcpack
  System Dynamic Lights BH V1.7.mcpack
  Definitive Tree Capitator BH V1.6.2.mcpack

.msi (10 files)
  blender-3.4.0-windows-x64.msi
  ThreatModelingTool2016.msi
  MinecraftInstaller (1).msi
  hamachi.msi
  PythonScript_1.0.8.0.msi

.oos (10 files)
  modifiers_oos_machineid_2.oos
  savegame_oos_machineid_2.oos
  modifiers_oos_machineid_4.oos
  savegame_oos_machineid_4.oos
  modifiers_oos_machineid_5.oos

.pptx (10 files)
  Presentation.pptx
  Minecraft Ulta Iron Farm.pptx
  How To Enable Python 3 Pip on Windows.pptx
  Template.pptx
  11-14-Presentation-2016.pptx

.mcaddon (9 files)
  BetterFoliageBE2.7.6.mcaddon
  [v4.7.6] More Structures.mcaddon
  Farmers Delight Bedrock (RP) V14.3.0.mcaddon
  More Ores BP New! v1.3.3.mcaddon
  WAILA.v3.0.r4isen1920.mcaddon

.vcf (9 files)
  vcards_20211116_135741.vcf
  contacts_20210225.vcf
  contacts_20210218.vcf
  contacts_190411.vcf
  contacts_181015.vcf

.vdf (9 files)
  steam_autocloud.vdf
  steam_autocloud.vdf
  steam_autocloud.vdf
  steam_autocloud.vdf
  steam_autocloud.vdf

.fpf (8 files)
  The Hellfire Compact NPC.txt.fpf
  Aeteperax.txt.fpf
  NPC List.txt.fpf
  The Harrowing.txt.fpf
  The Hellfire Compact NPC.txt.fpf

.cfg (7 files)
  accesstransformer.cfg
  MouseTweaks.cfg
  BBOutlineReloaded.cfg
  blacklist.cfg
  disenchanter.cfg

.ck3 (7 files)
  Pope_Gutmer_Jiggles_Mig_Von_II_of_Burglarism_Papacy_1195_06_14.ck3
  autosave_2.ck3
  autosave_1.ck3
  autosave.ck3
  last_save.ck3

.ctb (7 files)
  2.5 Exposure Time.ctb
  3.5 Exposure Time.ctb
  4.0 Exposure Time.ctb
  4.5 Exposure Time.ctb
  3.0 Exposure Time.ctb

.rtf (7 files)
  Druid_Villain_Chris.rtf
  Malachar_Damian.rtf
  DMs_Guild_Creator_Resource_-_Adventure_Template_rtf.rtf
  633 Research Paper Grading Rubric-Park.rtf
  lab3_2.rtf

.dat_old (6 files)
  1d9fc023-3d6d-4dab-8c7e-9be4c61cb054.dat_old
  1d9fc023-3d6d-4dab-8c7e-9be4c61cb054.dat_old
  level.dat_old
  level.dat_old
  level.dat_old

.mcworld (6 files)
  Fam World 2.1.mcworld
  Fam World 2.1_EDIT.mcworld
  Fam World 3.0.mcworld
  Blitz Realms 08_12_24 23_01_59 - Copy.mcworld
  Offline World.mcworld

.rar (6 files)
  venom_one piece.rar
  Deimos_Documents.rar
  826634-MistFactor-Tunnels-Ruxabar-V5.rar
  pwk-28868-284377.rar
  PS3 Controller setup.rar

.xlsm (6 files)
  SIG Lite_v6.xlsm
  SIG Lite_v4.xlsm
  SIG Lite_v2.xlsm
  SIG Lite_v1.xlsm
  ISO27k Asset inventory.xlsm

.xslt (6 files)
  UpgradeReport.xslt
  UpgradeReport.xslt
  UpgradeReport.xslt
  UpgradeReport.xslt
  UpgradeReport.xslt

.civ5replay (5 files)
  Attila_0201 AD-1862_0.Civ5Replay
  Genghis Khan_0330 AD-2050_1.Civ5Replay
  Attila_0330 AD-2050_2.Civ5Replay
  Attila_0330 AD-2050_3.Civ5Replay
  Attila_0330 AD-2050_4.Civ5Replay

.cpp (5 files)
  MainProgram.cpp
  Math Tutor.cpp
  population.cpp
  StdAfx.cpp
  dpLab2_1.cpp

.hlfg (5 files)
  Silver_Fang.hlfg
  Ganesha.hlfg
  Cavalier_Guy.hlfg
  Naom.hlfg
  Yggdrasil.hlfg

.jfif (5 files)
  Komondor.lpg.jfif
  download.jfif
  download (1).jfif
  doggo.JPG.jfif
  Luskan_v3.jfif

.lock (5 files)
  session.lock
  session.lock
  session.lock
  parent.lock
  parent.lock

.msm (5 files)
  HG_Schematic3.msm
  HG_Schematic4.msm
  HG_Schematic2.msm
  HG_Schematic1.msm
  HG_Schematic.msm

.sqlite-shm (5 files)
  places.sqlite-shm
  favicons.sqlite-shm
  3647222921wleabcEoxlt-eengsairo.sqlite-shm
  3870112724rsegmnoittet-es.sqlite-shm
  d47bf756.sqlite-shm

.sqlite-wal (5 files)
  d47bf756.sqlite-wal
  places.sqlite-wal
  favicons.sqlite-wal
  3647222921wleabcEoxlt-eengsairo.sqlite-wal
  3870112724rsegmnoittet-es.sqlite-wal

.svg (5 files)
  lower-coral-swirl-with-shadow.svg
  logo.svg
  mimicstavern_bw_v1.svg
  mimicstavern_bw_v2.svg
  mimicstavern_bw_v3.svg

.tok (5 files)
  tokens_2.tok
  tokens_4.tok
  tokens_5.tok
  tokens_6.tok
  tokens_2.tok

.vbp (5 files)
  StudentInfoSystem.vbp
  Chpt7Qst4.vbp
  Chpt7Qst2.vbp
  Chpt7Qst1.vbp
  StudentInfoSystem.vbp

.vbw (5 files)
  StudentInfoSystem.vbw
  Chpt7Qst4.vbw
  Chpt7Qst2.vbw
  Chpt7Qst1.vbw
  StudentInfoSystem.vbw

.webp (5 files)
  e4b8ff20-bd27-4ced-bedb-f04358a8371f.webp
  Horny All The Time.webp
  Picture You Naked.webp
  DALL·E 2025-03-07 15.14.51 - A colossal hybrid creature combining a fire elemental and a gorilla. This monstrous being has a massive, muscular body covered in mol.webp
  base image.webp

.zxcheck (5 files)
  yomamaballs_Backup.zxcheck
  Lupo~.zxcheck
  yomamaballs.zxcheck
  Lupo_Backup.zxcheck
  Lupo.zxcheck

.3gpp (4 files)
  3318299912340652361.3gpp
  1162126809089173123.3gpp
  7922489375051950039.3gpp
  2881079477027141415.3gpp

.amr (4 files)
  VoiceMail_2024-06-25_09-49-10.amr
  VoiceMail_2024-06-25_09-49-42.amr
  mark_12-10-23_1121PM.amr
  mark_12-10-23_1112PM.amr

.cfgx (4 files)
  ELEGOO_Saturn_4_Ultra_Config_Settings_20251228.cfgx
  Chitubox_Saturn4Ultra_PrintSettings_20260306.cfgx
  Chitubox_Saturn4Ultra_Anycubic_HighClearResin_20260306.cfgx
  Chitubox_Saturn_4_Ultra_Elegoo_StandardGreyResin_20260306.cfgx

.dmg (4 files)
  CHITUBOX_ARM_V2.1.0.dmg
  CHITUBOX_V2.1.0.dmg
  CHITUBOXPro V1.5.0 Beta01 for ELEGOO（Arm）.dmg
  CHITUBOXPro V1.5.0 Beta01 for ELEGOO（Intel）.dmg

.itdb (4 files)
  iTunes Library Genius.itdb
  iTunes Library Extras.itdb
  iTunes Library Genius.itdb
  iTunes Library Extras.itdb

.m3u (4 files)
  200-ost-donnie_darko_(score)-cd2-2004-just.m3u
  100-ost-donnie_darko_(soundtrack)-cd1-2004-just.m3u
  000-ost-donnie_darko_(soundtrack_and_score)-2cd-2004-just.m3u
  00-josh_abbott_band-scapegoat-2008.m3u

.ncb (4 files)
  dpLab2_1.ncb
  dpLab-1-1.ncb
  dpLab1-2.ncb
  dpLab2_1.ncb

.photon (4 files)
  Red Dragon Reading a Book.photon
  Tiamat Goddess form.photon
  Centaur Female Fighter for Photon.photon
  Almiraj.photon

.vssettings (4 files)
  CurrentSettings.vssettings
  CurrentSettings-2013-08-20.vssettings
  CurrentSettings.vssettings
  CurrentSettings-2013-10-12.vssettings

.wbz (4 files)
  rollercoasters.wbz
  38868b7a6e127854d97701db098ad8b5.wbz
  rollercoasters.wbz
  38868b7a6e127854d97701db098ad8b5.wbz

.zxsav (4 files)
  yomamaballs_Backup.zxsav
  yomamaballs.zxsav
  Lupo.zxsav
  Lupo_Backup.zxsav

.azw (3 files)
  B00A0HFA3K_EBOK.azw
  B00N9YPW5C_EBOK.azw
  B00EVSOVZ2_EBOK.azw

.dep (3 files)
  mt.dep
  mt.dep
  mt.dep

.disabled (3 files)
  optifinefixer-1.0.jar.disabled
  OptiFine_1.19.2_HD_U_I1.jar.disabled
  mcw-fences-1.0.7-mc1.19.2forge.jar.disabled

.fbx (3 files)
  FAT_GOBOANT.fbx
  FAT_GOBOANT_Modified_1.fbx
  Bearded Devil 1.fbx

.idb (3 files)
  vc80.idb
  vc80.idb
  vc80.idb

.ilk (3 files)
  dpLab-1-1.ilk
  dpLab1-2.ilk
  dpLab2_1.ilk

.lck (3 files)
  M05259.lck
  M26380.lck
  M26810.lck

.m4p (3 files)
  06 Rocket Man (I Think It's Going to.m4p
  06 Rocket Man (I Think It's Going to.m4p
  06 Rocket Man (I Think It's Going to.m4p

.mbpv2 (3 files)
  B00A0HFA3K_EBOK.mbpV2
  B00N9YPW5C_EBOK.mbpV2
  B00EVSOVZ2_EBOK.mbpV2

.nfo (3 files)
  visit us at www.spankys-palace.co.uk.nfo
  000-ost-donnie_darko_(soundtrack_and_score)-2cd-2004-just.nfo
  00-josh_abbott_band-scapegoat-2008.nfo

.phl (3 files)
  B00A0HFA3K_EBOK.phl
  B00N9YPW5C_EBOK.phl
  B00EVSOVZ2_EBOK.phl

.properties (3 files)
  libraryferret_1.properties
  bettervillage_1.properties
  color.properties

.psd (3 files)
  notes.psd
  dndpirateship_front.psd
  dndpirateship_back.psd

.vcproj (3 files)
  dpLab-1-1.vcproj
  dpLab1-2.vcproj
  dpLab2_1.vcproj

.voucher (3 files)
  amzn1.drm-voucher.v1.96d9f85f-e7b5-4d17-bedb-3507c93513df.voucher
  amzn1.drm-voucher.v1.b1ce63aa-cd3b-4315-b6f9-1d0dcdc31bd1.voucher
  amzn1.drm-voucher.v1.5ed54936-91b6-4c37-810c-7bd90a80085c.voucher

.0 (2 files)
  RAQ_Module_Spec_v1.0
  RAQ_Pipeline_Spec_v1.0

.1 (2 files)
  RAQ_Module_Spec_v1.1
  torrc.orig.1

.aup3 (2 files)
  Weird_Al_Beverly_Hillbillies.aup3
  RH_Audio_Recordings_ALL.aup3

.clipchamp (2 files)
  Video Project.clipchamp
  Untitled video 2023-04-13T165804.clipchamp

.cnt (2 files)
  PORTMON.CNT
  PORTMON.CNT

.dmp (2 files)
  minidump.dmp
  minidump.dmp

.dot (2 files)
  Pioneer ACO First Year.dot
  Pioneer ACO First Year.dot

.dotx (2 files)
  Phase 8.dotx
  ISO27k Generic business case template v2.dotx

.fcw (2 files)
  DDAO-01_Window_to_the_Past_floor_01_v1.FCW
  DDAO-01_Window_to_the_Past_floor_02_v2.FCW

.iml (2 files)
  pandatest.iml
  Learn.iml

.itl (2 files)
  iTunes Library.itl
  iTunes Library.itl

.ja (2 files)
  omni.ja
  omni.ja

.json5 (2 files)
  treeharvester.json5
  collective.json5

.lz4 (2 files)
  addonStartup.json.lz4
  webext.sc.lz4

.md5sum (2 files)
  NeXposeSetup-Linux64.bin.md5sum
  NeXposeSetup-Windows64.exe.md5sum

.mpp (2 files)
  Bacchus Winery.mpp
  ISO27k Project plan.mpp

.nvram (2 files)
  OffsecVM-2016.2-i686.nvram
  OffsecVM-2016.2-i686.nvram

.onepkg (2 files)
  David @ West Corporation.onepkg
  HiTrust.onepkg

.plist (2 files)
  .iTunes Preferences.plist
  .iTunes Preferences.plist

.ppk (2 files)
  SmiteWorks.ppk
  SmiteWorks.ppk

.pth (2 files)
  setuptools.pth
  easy-install.pth

.reg (2 files)
  cc_20190223_091944.reg
  cc_20171126_142757.reg

.run (2 files)
  metasploit-latest-linux-x64-installer.run
  metasploit-latest-linux-installer.run

.sfv (2 files)
  000-ost-donnie_darko_(soundtrack_and_score)-2cd-2004-just.sfv
  00-josh_abbott_band-scapegoat-2008.sfv

.spc (2 files)
  LINE.spc
  LINE.SPC

.vmsd (2 files)
  OffsecVM-2016.2-i686.vmsd
  OffsecVM-2016.2-i686.vmsd

.vmx (2 files)
  OffsecVM-2016.2-i686.vmx
  OffsecVM-2016.2-i686.vmx

.vmxf (2 files)
  OffsecVM-2016.2-i686.vmxf
  OffsecVM-2016.2-i686.vmxf

.wlmp (2 files)
  RO_Movie.wlmp
  RO_Movie(1).wlmp

.wpl (2 files)
  80's Ballads.wpl
  80's Ballads.wpl

.xpi (2 files)
  {73a6fe31-595d-460b-a920-fcc0f8843232}.xpi
  {73a6fe31-595d-460b-a920-fcc0f8843232}.xpi

.yml (2 files)
  meta.yml
  meta.yml

.zxuser (2 files)
  Account_Backup.zxuser
  Account.zxuser

.2 (1 files)
  RAQ_Module_Spec_v1.2

.3 (1 files)
  RAQ_Module_Spec_v1.3

.3mf (1 files)
  jack_base_lowpoly.3mf

.4 (1 files)
  RAQ_Module_Spec_v1.4

.5 (1 files)
  RAQ_Module_Spec_v1.5

.6 (1 files)
  RAQ_Module_Spec_v1.6

.accdb (1 files)
  OvertblitzGaming.accdb

.avif (1 files)
  necklace of selune.avif

.blend@ (1 files)
  Ancient Copper Dragon Updated posed.blend@

.bz2 (1 files)
  lab-connection (1).tar.bz2

.cookie (1 files)
  tracking.cookie

.crdownload (1 files)
  Unconfirmed 517466.crdownload

.data (1 files)
  player.data

.dsp (1 files)
  dpLab2_1.dsp

.dst (1 files)
  Embroidery File.dst

.dsw (1 files)
  dpLab2_1.dsw

.egg (1 files)
  setuptools-28.8.0-py3.6.egg

.epub (1 files)
  ISO_19011_2011(en).epub

.f3d (1 files)
  Validation_Matrix_v2.200701.f3d

.frx (1 files)
  frmmain.frx

.goo (1 files)
  ROOK.goo

.h (1 files)
  StdAfx.h

.ics (1 files)
  calendar.ics

.igx (1 files)
  Rockies NWA Logging HMS Maps_063005.igx

.index (1 files)
  pops_filestorage.index

.las (1 files)
  kin_long_tmd.LAS

.list (1 files)
  dependentlibs.list

.little (1 files)
  startupCache.8.little

.lymesh (1 files)
  a73194383f852cbb51fe8dcf18760ad7.lymesh

.lyr (1 files)
  SU4_ElegooGrey_Lychee_Config_20260316.lyr

.mf (1 files)
  MANIFEST.MF

.mid (1 files)
  theme.mid

.mozlz4 (1 files)
  search.json.mozlz4

.msix (1 files)
  python-manager-26.2.msix

.new (1 files)
  cached-microdescs.new

.nti (1 files)
  long_tmd.nti

.old (1 files)
  player.data.old

.opt (1 files)
  dpLab2_1.opt

.out (1 files)
  LOGFILE.OUT

.ova (1 files)
  NexposeVMAppliance.ova

.pages (1 files)
  Waterdeep_Notes.pages

.pak (1 files)
  Star Wars EotE.pak

.pem (1 files)
  cacert.pem

.prs (1 files)
  dvncorcbl.prs

.ps1 (1 files)
  Activate.ps1

.pst (1 files)
  My Outlook Data File(1).pst

.pub (1 files)
  Publication1.pub

.schem (1 files)
  library-robella.schem

.sdd (1 files)
  11.7.8071.4-PC-017.sdd

.sdx (1 files)
  100182948652.sdx

.sql (1 files)
  load_knowledge_object.sql

.step (1 files)
  Validation_Matrix_v2.200701.step

.tcl (1 files)
  init.tcl

.unity3d (1 files)
  Skeeter_TTS_assetBundle.unity3d

.vsdx (1 files)
  LT New Rep Due Diligence Quarterly Audit.vsdx

.vsmacros (1 files)
  Samples.vsmacros

.wcf (1 files)
  TMDL.wcf

.winmd (1 files)
  Microsoft.Services.Store.winmd

.wtc (1 files)
  watch.wtc

.xsd (1 files)
  printer.xsd

====================================================================================================
SUPPORTED FORMAT EXAMPLES
====================================================================================================

.pdf (2164 files)
  6222470.pdf
  DnD Lighting Effects.pdf
  Hamer_v._Sidway__2_R1.pdf
  MAX_Pre-Law_Choosing_the_Right_Law_School_for_You.pdf
  MAX_Pre-Law_Seeking_Scholarship_Support__2_pages_.pdf

.xml (890 files)
  Julia Ficus Lvl 3.xml
  printers.xml
  El_Lava_19.xml
  Noelle_19.xml
  Ophanim_19.xml

.json (887 files)
  29f1f856-db56-43e1-aea0-32cb9a369fea.json
  2961663c-4ad5-40db-80f0-ecddc1596515.json
  continue_game.json
  game_data.json
  meta.json

.txt (641 files)
  LICENSE.txt
  README.txt
  LICENSE.txt
  README.txt
  README.txt

.docx (318 files)
  Character and Fitness.docx
  DMP_Resume_MAIN.docx
  Character and Fitness.docx
  Law School Personal Statement.docx
  ReleaseofUnofficialTranscript-2-9-24_revised-(1).docx

.htm (102 files)
  CSS standard CBL (not radial) Software.htm
  RA-GL-HES-LP-037.htm
  RA-GL-HES-LP-036.htm
  RA-GL-HES-LP-034.htm
  RA-GL-HES-LP-035.htm

.html (90 files)
  bookmarks_20240911.html
  bookmarks_20240603.html
  bookmarks_20240627.html
  bookmarks_20240729.html
  bookmarks_20240421.html

.xlsx (88 files)
  Workout Tracking.xlsx
  DnD Wild Magic Table.xlsx
  ELEGOO resin settings on Mars Series & Saturn Series & Jupiter Series(official) -20240829.xlsx
  Unofficial Elegoo Saturn resin setting.xlsx
  HnP Household Expenses.xlsx

.csv (39 files)
  Credit Card - 9847_06-01-2024_10-10-2024.csv
  age_distribution.csv
  character_stats.csv
  sample-data.csv
  sample-data (9).csv

.md (14 files)
  CR!6X91VNE3G12KD55J6SM24HWW4MYA.azw.md
  CR!FX8NXMQ9FD6SSCA9AWA9B05YJYM2.azw.md
  CR!MM0D6PSMTS6V9BPKXQJQ8CSPZKNR.azw.md
  README.md
  README.md

====================================================================================================
FINAL RESULT
====================================================================================================

PASS: OneDrive format inventory completed.
No AlphaOmega database writes were performed.
